Date;Price;Dividend;price dividend ratio;PV ratio
1871.01;79.61;4.66;17.07692308;100
1871.02;78.29;4.52;17.30769231;101.3513514
1871.03;79.04;4.46;17.73076923;103.8288288
1871.04;84.34;4.63;18.23076923;106.7567568
1871.05;88.49;4.73;18.69230769;109.4594595
1871.06;89.14;4.81;18.53846154;108.5585586
1871.07;87.48;4.81;18.19230769;106.5315315
1871.08;90.01;4.89;18.42307692;107.8828829
1871.09;88.82;4.77;18.61538462;109.009009
1871.1;82.93;4.7;17.65384615;103.3783784
1871.11;83.84;4.7;17.84615385;104.5045045
1871.12;83.71;4.59;18.23076923;106.7567568
1872.01;85.83;4.65;18.45803266;108.0875787
1872.02;86.18;4.71;18.29771279;107.1487686
1872.03;87.69;4.7;18.66666667;109.3093093
1872.04;88.17;4.65;18.95353092;110.989145
1872.05;88.17;4.71;18.72063607;109.6253463
1872.06;87.95;4.8;18.32142857;107.2876448
1872.07;88.73;4.93;18.0021179;105.4178075
1872.08;87.04;4.95;17.57935124;102.9421469
1872.09;84.87;4.97;17.06896552;99.95340168
1872.1;87.12;5.14;16.9451074;99.22810639
1872.11;84.25;5.05;16.68351871;97.69628071
1872.12;87.56;5.18;16.9;98.96396396
1873.01;88.25;5.22;16.89256198;98.92040801
1873.02;87.03;5.15;16.8852459;98.87756609
1873.03;86.35;5.2;16.61788618;97.31194609
1873.04;85.17;5.24;16.25806452;95.2048823
1873.05;87.22;5.4;16.16;94.63063063
1873.06;88.61;5.61;15.80952381;92.57829258
1873.07;88.44;5.65;15.65354331;91.66489324
1873.08;88.44;5.69;15.53125;90.94876126
1873.09;81.68;5.74;14.23255814;83.34380893
1873.1;76.29;5.92;12.89230769;75.4954955
1873.11;75.91;6.15;12.33587786;72.23712262
1873.12;81.11;6.06;13.39393939;78.43297843
1874.01;84.2;5.96;14.12121212;82.69178269
1874.02;86.73;5.96;14.54545455;85.17608518
1874.03;85.46;5.96;14.33333333;83.93393393
1874.04;84.41;6.06;13.93939394;81.62708163
1874.05;82.86;6.1;13.57575758;79.4976795
1874.06;84.48;6.25;13.51515152;79.14277914
1874.07;83.81;6.2;13.51515152;79.14277914
1874.08;84.67;6.25;13.54545455;79.32022932
1874.09;86;6.25;13.75757576;80.56238056
1874.1;87.22;6.35;13.72727273;80.38493038
1874.11;88.71;6.41;13.84848485;81.09473109
1874.12;88.13;6.41;13.75757576;80.56238056
1875.01;88.13;6.36;13.86259542;81.17736057
1875.02;87.94;6.31;13.93846154;81.62162162
1875.03;89.1;6.26;14.23255814;83.34380893
1875.04;89.53;6.16;14.53125;85.09290541
1875.05;88.23;6.27;14.07874016;82.44307299
1875.06;87.93;6.32;13.9047619;81.42428142
1875.07;88.13;6.27;14.048;82.26306306
1875.08;87.78;6.17;14.22580645;83.30427201
1875.09;87.73;6.17;14.21138211;83.21980517
1875.1;86.32;6.12;14.09836066;82.5579678
1875.11;88.49;6.13;14.44628099;84.59533914
1875.12;89.26;6.13;14.56666667;85.3003003
1876.01;91.89;6.18;14.86666667;87.05705706
1876.02;93.13;6.18;15.06666667;88.22822823
1876.03;92.92;6.18;15.03333333;88.03303303
1876.04;90.21;6.24;14.46666667;84.71471471
1876.05;90.07;6.46;13.93333333;81.59159159
1876.06;91.96;6.65;13.83333333;81.00600601
1876.07;90.85;6.65;13.66666667;80.03003003
1876.08;86.27;6.59;13.1;76.71171171
1876.09;80.25;6.52;12.3;72.02702703
1876.1;78.37;6.41;12.23333333;71.63663664
1876.11;76.18;6.35;12;70.27027027
1876.12;74.41;6.24;11.93333333;69.87987988
1877.01;72.51;5.94;12.20770289;71.48654845
1877.02;70.05;5.91;11.85658502;69.43045282
1877.03;69.59;5.98;11.63302752;68.12133234
1877.04;62.78;5.62;11.16597038;65.38631301
1877.05;61.66;5.33;11.5656963;67.72705042
1877.06;60.49;5.43;11.14285714;65.25096525
1877.07;62.56;5.18;12.08651399;70.77688375
1877.08;69.55;5.17;13.45390384;78.78412157
1877.09;74.61;5.01;14.89655172;87.23205965
1877.1;76.22;4.8;15.89054249;93.05272627
1877.11;76.57;4.68;16.36546185;95.83378559
1877.12;76.34;4.46;17.10526316;100.1659554
1878.01;78.7;4.58;17.17758985;100.5894901
1878.02;77.8;4.61;16.88794477;98.89337027
1878.03;80.96;4.69;17.28;101.1891892
1878.04;84.1;4.72;17.8361007;104.4456347
1878.05;87.17;4.85;17.97631862;105.2667307
1878.06;91.02;4.94;18.43243243;107.9376674
1878.07;91.84;4.86;18.89250814;110.6318044
1878.08;90.04;4.78;18.82160393;110.2165996
1878.09;91.87;4.76;19.28767123;112.9458225
1878.1;91.84;4.8;19.15244909;112.1539812
1878.11;92.62;4.83;19.19247788;112.388384
1878.12;94.23;4.92;19.16666667;112.2372372
1879.01;96.65;4.91;19.70280682;115.3767967
1879.02;99.02;4.89;20.24004364;118.5227781
1879.03;98.54;4.99;19.72972973;115.5344534
1879.04;102.97;5.1;20.19282271;118.2462591
1879.05;107.61;5.14;20.92405736;122.5282638
1879.06;109.43;5.25;20.84210526;122.0483642
1879.07;110.34;5.24;21.07459572;123.4097948
1879.08;111.16;5.28;21.05535437;123.2971202
1879.09;111.37;5.15;21.64102564;126.7267267
1879.1;116.94;4.92;23.79257753;139.3259045
1879.11;116.97;4.7;24.86132123;145.5843135
1879.12;113.3;4.61;24.6;144.0540541
1880.01;114.31;4.59;24.92682927;145.9679191
1880.02;116.32;4.7;24.76190476;145.002145
1880.03;117.44;4.76;24.65116279;144.353656
1880.04;119.28;5.07;23.54545455;137.8787879
1880.05;113.17;5.34;21.2;124.1441441
1880.06;115.99;5.57;20.82608696;121.9545633
1880.07;121.32;5.69;21.31914894;124.8418631
1880.08;125.68;5.81;21.625;126.6328829
1880.09;124.15;5.87;21.14285714;123.8095238
1880.1;127.75;5.99;21.32;124.8468468
1880.11;133.1;6.05;22;128.8288288
1880.12;137.17;6.11;22.46153846;131.5315315
1881.01;146.86;6.29;23.35849057;136.7839538
1881.02;144.92;6.34;22.85185185;133.8171505
1881.03;146.57;6.46;22.69090909;132.8746929
1881.04;144.65;6.51;22.21428571;130.0836551
1881.05;152.67;6.69;22.80701754;133.5546072
1881.06;154.55;6.81;22.68965517;132.8673501
1881.07;147.67;6.86;21.52542373;126.0497786
1881.08;141.39;6.84;20.66666667;121.021021
1881.09;137.2;6.7;20.49180328;119.9970462
1881.1;133.75;6.74;19.83870968;116.1726242
1881.11;135.88;6.91;19.65079365;115.0722151
1881.12;131.93;7.02;18.78125;109.9802928
1882.01;129.95;7.02;18.5;108.3333333
1882.02;125.92;6.96;18.09375;105.9543919
1882.03;125.71;6.96;18.0625;105.7713964
1882.04;124.55;6.9;18.0625;105.7713964
1882.05;121.93;6.83;17.84375;104.4904279
1882.06;120.19;6.77;17.75;103.9414414
1882.07;128.12;6.83;18.75;109.7972973
1882.08;130.77;6.77;19.3125;113.0912162
1882.09;135.71;6.96;19.5;114.1891892
1882.1;133.25;7.02;18.96875;111.0782658
1882.11;128.74;7.09;18.15625;106.3203829
1882.12;130.64;7.16;18.25;106.8693694
1883.01;129.97;7.18;18.11097257;106.0552448
1883.02;125.86;7.13;17.65620143;103.3921705
1883.03;128.63;7.21;17.82945736;104.4067323
1883.04;132.57;7.3;18.15651098;106.3219111
1883.05;131.58;7.39;17.79765577;104.2205067
1883.06;136.7;7.63;17.90769231;104.8648649
1883.07;137.33;7.81;17.58747698;102.9897301
1883.08;131.1;7.83;16.74318947;98.04570411
1883.09;133.91;7.93;16.88549618;98.8790317
1883.1;130.28;7.95;16.3874505;95.96254799
1883.11;133.59;8.05;16.58566221;97.12324718
1883.12;129.31;7.99;16.18181818;94.75839476
1884.01;125.43;7.95;15.7782516;92.39516702
1884.02;128.82;7.91;16.28405265;95.35706505
1884.03;128.34;7.87;16.30769231;95.4954955
1884.04;125.11;7.99;15.65109805;91.65057417
1884.05;117.44;8.12;14.45446068;84.6432382
1884.06;112.64;8.08;13.9375;81.61599099
1884.07;113.87;8.13;14.01193842;82.05189167
1884.08;121.02;8.09;14.9668456;87.64369042
1884.09;118.47;8.13;14.57142857;85.32818533
1884.1;115.88;8.18;14.1717204;82.98755187
1884.11;116.11;8.32;13.95572666;81.72272369
1884.12;117.17;8.37;14;81.98198198
1885.01;114.47;8.21;13.93819855;81.62008162
1885.02;116.64;7.96;14.64968153;85.78642337
1885.03;119.63;7.99;14.97435897;87.68768769
1885.04;117.98;7.74;15.24241367;89.25737736
1885.05;119.38;7.76;15.38461538;90.09009009
1885.06;121.69;7.78;15.63636364;91.56429156
1885.07;124.71;7.53;16.56760773;97.01752272
1885.08;131.7;7.36;17.8883403;104.7515423
1885.09;131.59;7.29;18.05825243;105.7465232
1885.1;139.23;7.12;19.54707986;114.464882
1885.11;146.52;6.87;21.31814483;124.8359833
1885.12;142.02;6.55;21.66666667;126.8768769
1886.01;145.4;6.66;21.82123374;127.7819994
1886.02;148.2;6.62;22.39121251;131.1197129
1886.03;146.87;6.65;22.08510638;129.3271995
1886.04;146.66;6.68;21.94599228;128.5125674
1886.05;147.39;6.8;21.66594735;126.8726646
1886.06;156.09;6.84;22.82608696;133.666275
1886.07;156.49;6.7;23.34647394;136.7135861
1886.08;155.72;6.57;23.68769299;138.7117157
1886.09;159.78;6.52;24.48888889;143.4034034
1886.1;163.84;6.48;25.30228392;148.1665275
1886.11;167.9;6.43;26.11637348;152.9337186
1886.12;161.55;6.3;25.63636364;150.1228501
1887.01;156.03;6.22;25.07865169;146.8569693
1887.02;153.09;6.22;24.62222222;144.1841842
1887.03;156.68;6.29;24.92307692;145.9459459
1887.04;160.27;6.36;25.2173913;147.6694085
1887.05;163.04;6.42;25.37634409;148.6002131
1887.06;160.22;6.57;24.38297872;142.7832087
1887.07;158.19;6.72;23.53684211;137.8283547
1887.08;152.39;6.71;22.70833333;132.9767267
1887.09;152.25;6.86;22.18556701;129.9154825
1887.1;145.4;6.85;21.2244898;124.2875529
1887.11;146.46;6.84;21.41414141;125.3981254
1887.12;142.28;6.75;21.08;123.4414414
1888.01;141.73;6.63;21.38542086;125.229942
1888.02;142.55;6.66;21.40251317;125.3300321
1888.03;137.15;6.61;20.73469388;121.4193786
1888.04;139.29;6.65;20.96177559;122.7491363
1888.05;142.86;6.68;21.39015308;125.2576532
1888.06;140.09;6.71;20.875;122.240991
1888.07;142.04;6.59;21.56945027;126.3075917
1888.08;145.07;6.54;22.17997465;129.8827344
1888.09;148.67;6.49;22.89361702;134.0617213
1888.1;146.12;6.37;22.93184741;134.2855929
1888.11;141.47;6.26;22.61545101;132.4328213
1888.12;138.77;6.21;22.34782609;130.8656483
1889.01;146.52;6.41;22.86212914;133.8773328
1889.02;149.99;6.46;23.21506789;135.9440913
